"well_name","metric_month","Net_Operating_Profit_to_WI_Owners","Oil_Production_Tax","Oil_Sales_Bbls","Total_Revenue","Total_WI_Expenses","Workover_Cost"
"Floy Gray 1H","2023-11-01",23097.350000000002,2949.29,909.52,63991.33,23669.350000000002,0.0
"Floy Gray 1H","2023-12-01",34271.86000000001,2711.19,924.99,58813.21,8710.159999999998,0.0
"Floy Gray 1H","2024-01-01",30949.199999999997,2789.84,923.74,60523.28,13282.620000000003,0.0
"Floy Gray 1H","2024-02-01",37482.63999999999,2913.15,919.43,63204.38,8708.890000000001,0.0
"Floy Gray 1H","2024-03-01",35597.92999999999,2754.76,820.08,59774.81,8087.4,0.0
"Floy Gray 1H","2024-04-01",42088.62999999999,3203.29,903.0,69513.95,8714.600000000002,0.0
"Floy Gray 1H","2024-05-01",32897.20999999999,2648.86,803.86,57474.09,9106.59,0.0
"Floy Gray 1H","2024-06-01",28055.760000000002,2591.38,793.27,56226.53,13036.279999999999,3287.2
"Floy Gray 2H","2023-11-01",1217.1300000000047,1264.47,389.94,27435.58,18833.629999999997,0.0
"Floy Gray 2H","2023-12-01",12619.099999999999,1162.39,396.58,25215.52,5808.950000000001,0.0
"Floy Gray 2H","2024-01-01",10795.029999999999,1196.12,396.05,25948.7,8168.870000000003,0.0
"Floy Gray 2H","2024-02-01",14131.469999999998,1248.98,394.19,27098.19,5672.63,0.0
"Floy Gray 2H","2024-03-01",13926.739999999998,1181.0,351.6,25627.79,4802.9000000000015,0.0
"Floy Gray 2H","2024-04-01",15894.630000000001,1373.37,387.15,29803.35,5886.729999999999,0.0
"Floy Gray 2H","2024-05-01",11558.449999999999,1135.68,344.65,24641.39,6450.210000000001,0.0
"Floy Gray 2H","2024-06-01",9976.619999999997,1111.02,340.1,24106.51,7641.140000000001,1409.6
"Floyd Tiller 10H","2023-11-01",-7000.760000000002,1817.61,560.52,39437.03,34989.65,0.0
"Floyd Tiller 10H","2023-12-01",26460.340000000004,2186.25,745.9,47425.96,7198.089999999998,0.0
"Floyd Tiller 10H","2024-01-01",-7678.680000000008,2033.67,673.37,44118.66,38989.87000000001,0.0
"Floyd Tiller 10H","2024-02-01",10012.569999999989,2065.87,652.02,44821.81,21797.950000000008,0.0
"Floyd Tiller 10H","2024-03-01",2971.2499999999964,1470.85,437.87,31915.59,19679.72,0.0
"Floyd Tiller 10H","2024-04-01",-7972.690000000002,1006.78,283.81,21847.94,23478.49,0.0
"Floyd Tiller 10H","2024-05-01",11865.169999999987,2460.85,746.81,53395.32,26030.080000000005,0.0
"Floyd Tiller 10H","2024-06-01",4155.249999999996,1738.9,532.31,37730.03,22622.230000000003,0.0
"Floyd Tiller 12H","2023-11-01",-2590.2999999999993,305.33,94.16,6624.78,7277.36,0.0
"Floyd Tiller 12H","2023-12-01",3306.429999999999,367.26,125.3,7966.8,2329.8000000000006,0.0
"Floyd Tiller 12H","2024-01-01",-2673.2400000000007,341.62,113.11,7411.22,7916.4800000000005,0.0
"Floyd Tiller 12H","2024-02-01",562.0,347.03,109.53,7529.34,4764.7300000000005,0.0
"Floyd Tiller 12H","2024-03-01",-608.8299999999995,247.08,73.55,5361.3,4401.9,0.0
"Floyd Tiller 12H","2024-04-01",-2446.8600000000006,169.12,47.68,3670.1,5043.460000000001,0.0
"Floyd Tiller 12H","2024-05-01",827.3499999999995,413.46,125.45,8969.48,5518.52,0.0
"Floyd Tiller 12H","2024-06-01",-966.2600000000002,292.11,89.42,6338.04,5450.47,0.0
"Floyd Tiller 1H","2023-11-01",939.75,152.84,47.13,3316.14,1413.67,0.0
"Floyd Tiller 1H","2023-12-01",3671.5800000000004,290.07,98.97,6292.47,794.2299999999999,0.0
"Floyd Tiller 1H","2024-01-01",2406.58,215.44,71.34,4673.84,910.4199999999998,0.0
"Floyd Tiller 1H","2024-02-01",4124.790000000001,304.26,96.03,6601.22,560.1600000000001,0.0
"Floyd Tiller 1H","2024-03-01",2798.2799999999997,277.13,82.5,6013.3,1469.3,0.0
"Floyd Tiller 1H","2024-04-01",4101.81,341.65,96.31,7414.12,1159.9499999999998,0.0
"Floyd Tiller 1H","2024-05-01",3474.6800000000003,247.22,75.01,5362.96,331.43,0.0
